"FEDR_id","CASE_id","URL sprawy","TERYT","Nazwa","Typ","Województwo","Powiat","Liczba umów >= 10000","Liczba umów < 10000","Suma brutto umów >= 10000","Suma brutto < 10000"
1,81894,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-640","02","Marszałek Województwa Dolnośląskiego","marszałek","dolnośląskie",,,,,
2,81895,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-641","04","Marszałek Województwa Kujawsko-Pomorskiego","marszałek","kujawsko-pomorskie",,,,,
3,81896,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-642","06","Marszałek Województwa Lubelskiego","marszałek","lubelskie",,551,2568,"77755351,54","5971464,24"
4,81897,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-643","08","Marszałek Województwa Lubuskiego","marszałek","lubuskie",,,,,
5,81898,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-644","10","Marszałek Województwa Łódzkiego","marszałek","łódzkie",,,1247,,"5637030,24"
6,81899,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-645","12","Marszałek Województwa Małopolskiego","marszałek","małopolskie",,864,980,"884981659,73","3011834,36"
7,81900,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-646","14","Marszałek Województwa Mazowieckiego","marszałek","mazowieckie",,3375,3528,"173866748,49","178185193,17"
8,81901,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-647","16","Marszałek Województwa Opolskiego","marszałek","opolskie",,672,2658,"1050289913,06","6741647,03"
9,81902,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-648","18","Marszałek Województwa Podkarpackiego","marszałek","podkarpackie",,,,,
10,81903,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-649","20","Marszałek Województwa Podlaskiego","marszałek","podlaskie",,480,344,"34929756,97","1905337,36"
11,81904,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-650","22","Marszałek Województwa Pomorskiego","marszałek","pomorskie",,94,591,"85092717,07","2765238,84"
12,81905,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-651","24","Marszałek Województwa Śląskiego","marszałek","śląskie",,,,,
13,81906,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-652","26","Marszałek Województwa Świętokrzyskiego","marszałek","świętokrzyskie",,601,752,208943726,3487294
14,81907,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-653","28","Marszałek Województwa Warmińsko-Mazurskiego","marszałek","warmińsko-mazurskie",,226,2109,121982398,"3680800,95"
15,81908,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-654","30","Marszałek Województwa Wielkopolskiego","marszałek","wielkopolskie",,156,17,"18007003,91",669889
16,81909,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-655","32","Marszałek Województwa Zachodniopomorskiego","marszałek","zachodniopomorskie",,,,,
17,81878,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-624","02","Wojewoda Dolnośląski","wojewoda","dolnośląskie",,,,,
18,81879,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-625","04","Wojewoda Kujawsko-Pomorski","wojewoda","kujawsko-pomorskie",,69,36,"4719468,69","147100,11"
19,81880,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-626","06","Wojewoda Lubelski","wojewoda","lubelskie",,164,227,"34971648,38","986032,81"
20,81881,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-627","08","Wojewoda Lubuski","wojewoda","lubuskie",,420,442,"53204056,16","1011681,05"
21,81882,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-628","10","Wojewoda Łódzki","wojewoda","łódzkie",,140,212,"41296189,77","797215,9"
22,81883,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-629","12","Wojewoda Małopolski","wojewoda","małopolskie",,2853,1254,,"5687139,32"
23,81884,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-630","14","Wojewoda Mazowiecki","wojewoda","mazowieckie",,2542,953,"876737632,6","3476297,18"
24,81885,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-631","16","Wojewoda Opolski","wojewoda","opolskie",,64,149,2530802,318458
25,81886,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-632","18","Wojewoda Podkarpacki","wojewoda","podkarpackie",,,,,
26,81887,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-633","20","Wojewoda Podlaski","wojewoda","podlaskie",,222,316,"13656878,99","1381482,49"
27,81888,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-634","22","Wojewoda Pomorski","wojewoda","pomorskie",,416,1155,"66342270,37","2840089,36"
28,81889,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-635","24","Wojewoda Śląski","wojewoda","śląskie",,231,666,"50928676,25","2232537,51"
29,81890,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-636","26","Wojewoda Świętokrzyski","wojewoda","świętokrzyskie",,67,243,"13285799,43","760935,58"
30,81891,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-637","28","Wojewoda Warmińsko-Mazurski","wojewoda","warmińsko-mazurskie",,252,217,"29701263,45","560207,69"
31,81892,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-638","30","Wojewoda Wielkopolski","wojewoda","wielkopolskie",,,,,
32,81893,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-639","32","Wojewoda Zachodniopomorski","wojewoda","zachodniopomorskie",,,,,
42,81852,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-598","0407092","ZŁOTNIKI KUJAWSKIE","gmina","kujawsko-pomorskie","inowrocławski",67,202,"19659124,27","493745,32"
45,81418,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-164","0414012","BUKOWIEC","gmina","kujawsko-pomorskie","świecki",66,149,"2195994,47","392366,15"
46,81633,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-379","0613062","SIEMIEŃ","gmina","lubelskie","parczewski",9,31,253050,"122660,69"
49,81362,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-108","1433062","MIEDZNA","gmina","mazowieckie","węgrowski",21,9,"1050203,65",75477
51,81309,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-55","1020083","STRYKÓW","gmina","łódzkie","zgierski",132,393,"5103690,32","1115083,72"
52,81495,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-241","2009032","KRASNOPOL","gmina","podlaskie","sejneński",,,,
56,81521,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-267","1005072","ŁOWICZ","gmina","łódzkie","łowicki",70,68,"19198706,86","348114,64"
61,81619,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-365","3012052","ROZDRAŻEW","gmina","wielkopolskie","krotoszyński",41,54,"2081566,87","181860,28"
63,81588,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-334","0202041","PIŁAWA GÓRNA","gmina","dolnośląskie","dzierżoniowski",84,67,"2282023,68","262619,96"
67,81640,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-386","2605062","SŁUPIA KONECKA","gmina","świętokrzyskie","konecki",15,13,"372035,64","64188,52"
69,81331,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-77","2661","Kielce","miasto na prawach powiatu","świętokrzyskie","Kielce",254,954,"345264640,46","1533768,3"
71,81412,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-158","0602042","BISZCZA","gmina","lubelskie","biłgorajski",27,53,"1037263,66","165027,34"
88,81555,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-301","0410033","NAKŁO NAD NOTECIĄ","gmina","kujawsko-pomorskie","nakielski",282,532,"53536171,9","1709394,02"
89,81423,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-169","0216013","CHOCIANÓW","gmina","dolnośląskie","polkowicki",,,,
96,81824,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-570","1012132","WIELGOMŁYNY","gmina","łódzkie","radomszczański",59,74,"13328462,81","318549,29"
100,81312,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-58","2002123","TYKOCIN","gmina","podlaskie","białostocki",,,,
108,81459,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-205","2414021","IMIELIN","gmina","śląskie","bieruńsko-lędziński",239,16,"30620886,54","84487,65"
116,81589,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-335","2608043","PIŃCZÓW","gmina","świętokrzyskie","pińczowski",113,263,"7411954,2","1060376,05"
129,81811,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-557","0416063","TUCHOLA","gmina","kujawsko-pomorskie","tucholski",,,,
131,81441,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-187","0202021","DZIERŻONIÓW","gmina","dolnośląskie","dzierżoniowski",,,,
134,81465,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-211","0419033","JANOWIEC WIELKOPOLSKI","gmina","kujawsko-pomorskie","żniński",60,52,"7240466,85","162315,99"
157,81434,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-180","1008032","DŁUTÓW","gmina","łódzkie","pabianicki",55,91,"13291235,17","300851,7"
161,81499,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-245","0213022","KROŚNICE","gmina","dolnośląskie","milicki",,,,
170,81411,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-157","3209022","BIESIEKIERZ","gmina","zachodniopomorskie","koszaliński",17,38,"573627,97","137107,81"
182,81409,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-155","0601032","BIAŁA PODLASKA","gmina","lubelskie","bialski",108,377,"6571660,66","1325768,96"
186,81550,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-296","2810032","MRĄGOWO","gmina","warmińsko-mazurskie","mrągowski",4,8,"99124,39",174573
188,81338,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-84","1423012","BORKOWICE","gmina","mazowieckie","przysuski",45,34,12754693,153957
190,81339,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-85","1403032","BOROWIE","gmina","mazowieckie","garwoliński",66,91,"16559200,55","298196,59"
192,81417,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-163","0811033","BRODY (woj. lubuskie)","gmina","lubuskie","żarski",62,38,"211939,01","1474622,4"
197,81419,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-165","1217032","BUKOWINA TATRZAŃSKA","gmina","małopolskie","tatrzański",23,68,"990566,34","197773,69"
205,81258,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-4","1016042","CZERNIEWICE","gmina","łódzkie","tomaszowski",66,128,"5236118,31","660530,68"
207,81431,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-177","1211042","CZORSZTYN","gmina","małopolskie","nowotarski",38,110,2124556,"280143,37"
214,81437,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-183","0603052","DUBIENKA","gmina","lubelskie","chełmski",16,93,"417556,6","279451,78"
221,81591,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-337","1011033","PODDĘBICE","gmina","łódzkie","poddębicki",,,,
225,81457,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-203","2005062","HAJNÓWKA","gmina","podlaskie","hajnowski",25,127,1505844,"163963,1"
229,81343,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-89","1407032","GNIEWOSZÓW","gmina","mazowieckie","kozienicki",37,77,"14917402,53","263790,6"
243,81458,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-204","2407042","HERBY","gmina","śląskie","lubliniecki",76,19,"20591922,11","112912,39"
251,81470,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-216","1206042","JERZMANOWICE-PRZEGINIA","gmina","małopolskie","krakowski",87,183,"27727837,59","489361,81"
252,81473,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-219","0206062","JEŻÓW SUDECKI","gmina","dolnośląskie","karkonoski",36,59,,
254,81268,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-14","0615042","KĄKOLEWNICA","gmina","lubelskie","radzyński",24,46,"2398937,22","231278,61"
256,81477,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-223","1210052","KAMIONKA WIELKA","gmina","małopolskie","nowosądecki",,,,
257,81266,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-12","0224033","KAMIENIEC ZĄBKOWICKI","gmina","dolnośląskie","ząbkowicki",,,,
258,81350,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-96","1411032","KARNIEWO","gmina","mazowieckie","makowski",2,15,"11459406,97","40038,4"
261,81481,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-227","0616022","KŁOCZEW","gmina","lubelskie","rycki",54,36,"22752279,5","192990,12"
266,81270,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-16","0218012","KOSTOMŁOTY","gmina","dolnośląskie","średzki",59,78,"6485540,05","297747,05"
283,81508,"https://fedrowanie.siecobywatelska.pl/sprawy/liczba-umow-zawieranych-przez-gminy-powiaty-wojewodztwa-i-ministerstwa-w-2024-roku-254","3007062","LISKÓW","gmina","wielkopolskie","kaliski",0,1,0,1440
