FEDR_id,CASE_id,CASE_fedr_url,CASE_api_url,FEDR_Kod_TERYT,FEDR_name,FEDR_tags,adsiedzwojewodztwo_nazwa,adsiedzpowiat_nazwa,q1_total_verdicts,q2_final_verdicts,q3_verdicts_with_reasoning,q4_verdicts_journalist_defendant,q5a_cases_journalist_discontinued,q5b_cases_journalist_conditional_discontinued,q5c_cases_journalist_acquittal,q5d_cases_journalist_conviction,q5e_cases_journalist_settlement,q6_verdicts_public_official_prosecutor,other_info,e_verdict_1,e_verdict_2,e_verdict_3,e_verdict_4,e_verdict_5,e_verdict_6,e_verdict_7,e_verdict_8,e_verdict_9,e_verdict_10,e_verdict_11,e_verdict_12,e_verdict_13,e_verdict_14,e_verdict_15,e_verdict_16,e_verdict_17,e_verdict_18,e_verdict_19
2508,84709,https://fedrowanie.siecobywatelska.pl/sprawy/wyroki-w-sprawach-z-art-212-par-2-kk-33,https://fedrowanie.siecobywatelska.pl/api/cases/84709/,'2001011,Sąd Rejonowy w Augustowie,"['sąd', 'sąd rejonowy']",PODLASKIE,augustowski,2,2,1,0,0,0,0,0,0,1,Sąd odnotował 'W jednym wyroku.' (zgodnie z pkt 6 pisma). Jedna sprawa z art. 212 § 1 i 2 kk zakończyła się postanowieniem o umorzeniu postępowania z powodu pojednania stron (sygn. akt VI K 81/24).,https://fedrowanie.siecobywatelska.pl/listy/zalacznik/171958/356202,https://fedrowanie.siecobywatelska.pl/listy/zalacznik/171960/356202,,,,,,,,,,,,,,,,,
2509,84715,https://fedrowanie.siecobywatelska.pl/sprawy/wyroki-w-sprawach-z-art-212-par-2-kk-39,https://fedrowanie.siecobywatelska.pl/api/cases/84715/,'2061011,Sąd Rejonowy w Białymstoku,"['sąd', 'sąd rejonowy']",PODLASKIE,m. Białystok,21,18,16,0,5,7,4,2,3,1,"Pismo znak sprawy: A.0123.50.2025 z dnia 16 kwietnia 2025 r. w odpowiedzi na wniosek z dnia 4 kwietnia 2025 r. dotyczący informacji publicznej (Dz. U. z 2022 r., poz. 902 j.t.) w przedmiocie spraw dot. art. 212 § 2 kk wydanych w roku 2024. Orzeczenia wydane przez III i XIII Wydział Karny Sądu Rejonowego w Białymstoku. Informacje udzielono w oparciu o weryfikację systemów informatycznych.",https://fedrowanie.siecobywatelska.pl/listy/zalacznik/172278/356403,,,,,,,,,,,,,,,,,,
2511,84751,https://fedrowanie.siecobywatelska.pl/sprawy/wyroki-w-sprawach-z-art-212-par-2-kk-75,https://fedrowanie.siecobywatelska.pl/api/cases/84751/,'2805011,Sąd Rejonowy w Ełku,"['sąd', 'sąd rejonowy']",WARMIŃSKO-MAZURSKIE,ełcki,1,1,1,1,1,0,0,0,0,0,"W załączeniu przesłano zanonimizowany odpis wyroku wraz z uzasadnieniem. Załączony wyrok sygn. akt II K 172/22 z dnia 23.02.2024 r. dotyczy sprawy, w której oskarżonym był dziennikarz (zgodnie z informacją podaną w odpowiedzi Ad. 4 i Ad. 5) i jest jedynym takim wyrokiem wydanym w 2024 r. w sprawach z art. 212 § 2 kk. Wyrok ten zakończył się umorzeniem postępowania w zakresie zarzutów z art. 212 § 1 i § 2 kk.",https://fedrowanie.siecobywatelska.pl/listy/zalacznik/171316/355619,https://fedrowanie.siecobywatelska.pl/listy/zalacznik/171317/355619,,,,,,,,,,,,,,,,,
2512,84829,https://fedrowanie.siecobywatelska.pl/sprawy/wyroki-w-sprawach-z-art-212-par-2-kk-153,https://fedrowanie.siecobywatelska.pl/api/cases/84829/,'2062011,Sąd Rejonowy w Łomży,"['sąd', 'sąd rejonowy']",PODLASKIE,m. Łomża,0,0,0,0,0,0,0,0,0,0,"Sąd Rejonowy w Łomży informuje, że w roku 2024 nie wydano wyroków z art. 212 par. 2 kk.",,,,,,,,,,,,,,,,,,,
2513,84920,https://fedrowanie.siecobywatelska.pl/sprawy/wyroki-w-sprawach-z-art-212-par-2-kk-244,https://fedrowanie.siecobywatelska.pl/api/cases/84920/,'2011084,Sąd Rejonowy w Sokółce,"['sąd', 'sąd rejonowy']",PODLASKIE,sokólski,1,1,0,0,0,0,0,0,0,1,"Sąd wydał w 2024 roku tylko jeden prawomocny wyrok w sprawie z art. 212 § 2 kk (sygn. akt II K 121/24, data wyroku 12.11.2024). Postępowanie w tej sprawie zostało umorzone na mocy art. 17 § 1 pkt 9 kpk, a kosztami sądowymi obciążono oskarżyciela prywatnego M. D. Oskarżonym był A. C. Sprawa dotyczyła postu na Facebooku o tytule ""Protest wyborczy"" wraz z ulotką wyborczą kandydata M. D.",https://fedrowanie.siecobywatelska.pl/listy/zalacznik/172036/356236,,,,,,,,,,,,,,,,,,
2514,84934,https://fedrowanie.siecobywatelska.pl/sprawy/wyroki-w-sprawach-z-art-212-par-2-kk-258,https://fedrowanie.siecobywatelska.pl/api/cases/84934/,'2063011,Sąd Rejonowy w Suwałkach,"['sąd', 'sąd rejonowy']",PODLASKIE,m. Suwałki,4,4,2,0,0,0,0,0,0,0,"Sąd informuje, że wyroki zostały po zanonimizowaniu opublikowane na Portalu Orzeczeń Sądu Rejonowego w Suwałkach.",https://orzeczenia.suwalki.sr.gov.pl/,,,,,,,,,,,,,,,,,,
2516,84955,https://fedrowanie.siecobywatelska.pl/sprawy/wyroki-w-sprawach-z-art-212-par-2-kk-279,https://fedrowanie.siecobywatelska.pl/api/cases/84955/,'0416064,Sąd Rejonowy w Tucholi,"['sąd', 'sąd rejonowy']",KUJAWSKO-POMORSKIE,tucholski,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2517,84841,https://fedrowanie.siecobywatelska.pl/sprawy/wyroki-w-sprawach-z-art-212-par-2-kk-165,https://fedrowanie.siecobywatelska.pl/api/cases/84841/,'0409034,Sąd Rejonowy w Mogilnie,"['sąd', 'sąd rejonowy']",KUJAWSKO-POMORSKIE,mogileński,0,0,0,0,0,0,0,0,0,0,"Sąd Rejonowy w Mogilnie informuje, że w 2024 roku nie zapadały wyroki w sprawach z art. 212 § 2 k.k.",,,,,,,,,,,,,,,,,,,
2518,84723,https://fedrowanie.siecobywatelska.pl/sprawy/wyroki-w-sprawach-z-art-212-par-2-kk-47,https://fedrowanie.siecobywatelska.pl/api/cases/84723/,'0402011,Sąd Rejonowy w Brodnicy,"['sąd', 'sąd rejonowy']",KUJAWSKO-POMORSKIE,brodnicki,1,1,0,0,0,0,0,0,0,0,"Dotyczy sprawy IIK 561/23. Wyrok wydano 8 października 2024 r., uprawomocnił się 16 października 2024 r. Postępowanie warunkowo umorzono.",https://fedrowanie.siecobywatelska.pl/listy/zalacznik/172170/356336,,,,,,,,,,,,,,,,,,
2520,84733,https://fedrowanie.siecobywatelska.pl/sprawy/wyroki-w-sprawach-z-art-212-par-2-kk-57,https://fedrowanie.siecobywatelska.pl/api/cases/84733/,'0404011,Sąd Rejonowy w Chełmnie,"['sąd', 'sąd rejonowy']",KUJAWSKO-POMORSKIE,chełmiński,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2521,84735,https://fedrowanie.siecobywatelska.pl/sprawy/wyroki-w-sprawach-z-art-212-par-2-kk-59,https://fedrowanie.siecobywatelska.pl/api/cases/84735/,'2202011,Sąd Rejonowy w Chojnicach,"['sąd', 'sąd rejonowy']",POMORSKIE,chojnicki,0,0,0,0,0,0,0,0,0,0,W 3 sprawach prawomocnie zakończonych w 2024 r. umorzono postępowania z uwagi na pojednanie stron.,,,,,,,,,,,,,,,,,,,
