FEDR_id,CASE_id,CASE_url,Nazwa,Typ,Województwo,Powiat,Czy wydaje media,Lista mediów
205,85961,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-966,CZERNIEWICE,samorząd gminy,łódzkie,tomaszowski,PRAWDA,"""Wieści znad Krzemionki"",""gazeta samorządowa"",""Gmina Czerniewice"",""2015"","""",""http://czerniewice.pl/pl/dla-mieszkanca/kultura-i-sport/gazeta-wiesci-znadkrzemionki"""
398,87079,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2084,ZBLEWO,samorząd gminy,pomorskie,starogardzki,PRAWDA,"""Kurier Zblewski"",""biuletyn informacyjny"",""Urząd Gminy w Zblewie"",""Styczeń 2009"","""","""""
545,87623,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2628,RASZKÓW,samorząd gminy,wielkopolskie,ostrowski,FAŁSZ,"tytul,typ,prowadzacy,data_od,data_do,linki
""www.raszkow.pl"",""strona internetowa"",""Urząd Gminy i Miasta Raszków"",""2002"","""",""www.raszkow.pl""
""Gmina i Miasto Raszków"",""Facebook"",""Urząd Gminy i Miasta Raszków"",""2024"","""",""""
""Goniec Raszkowski"",""gazeta"",""Urząd Gminy i Miasta Raszków"",""2007"","""",""""
""http://zgkraszkow.pl"",""strona internetowa"",""Zakład Gospodarki Komunalnej"",""2015"","""",""http://zgkraszkow.pl""
""Zakład Gospodarki Komunalnej w Raszkowie"",""Facebook"",""Zakład Gospodarki Komunalnej"",""2020"","""",""https://www.facebook.com/people/Zak%C5%82ad-Gospodarki-Komunalnej-w-Raszkowie/100063520656691/?ref=embed page""
""https://bibliotekaraszkow.pl"",""strona internetowa"",""Raszkowska Biblioteka Publiczna im. Adama Mickiewicza"","""","""",""https://bibliotekaraszkow.pl""
""Raszkowska Biblioteka Publiczna im. Adama Mickiewicza"",""Facebook"",""Raszkowska Biblioteka Publiczna im. Adama Mickiewicza"",""2015"","""",""www.facebook.com/biblioteka.raszkow/""
""@bibliotekaw_raszkowie"",""Instagram"",""Raszkowska Biblioteka Publiczna im. Adama Mickiewicza"",""2023"","""",""https://www.instagram.com/bibliotekaw_raszkowie""
""@bibliotekawraszkowie"",""TikTok"",""Raszkowska Biblioteka Publiczna im. Adama Mickiewicza"",""2023"","""",""https://www.tiktok.com/@bibliotekawraszkowie""
""Miejsko-Gminny Ośrodek Kultury w Raszkowie"",""Facebook"",""Miejsko-Gminny Ośrodek Kultury w Raszkowie"",""2012"","""",""https://www.facebook.com/mgokRaszkow/""
""www.zespolkotryta.osw.pl"",""strona internetowa"",""Zespół Szkół im. Orła Białego w Korytach"",""2002"","""",""www.zespolkotryta.osw.pl""
""Zespół Szkół im. Orła Białego"",""Facebook"",""Zespół Szkół im. Orła Białego w Korytach"",""2017"","""",""www.facebook.com/profile.php?id=100057158632545""
""https://spjankowzalesny.szkolnastrona.pl/"",""strona internetowa"",""Szkoła Podstawowa im. Powstania Wielkopolskiego w Jankowie Zaleśnym"",""2010"","""",""https://spjankowzalesny.szkolnastrona.pl/""
""Szkoła Podstawowa im. Powstania Wielkopolskiego w Jankowie Zaleśnym"",""Facebook"",""Szkoła Podstawowa im. Powstania Wielkopolskiego w Jankowie Zaleśnym"",""2020"","""",""https://www.facebook.com/p/Szko%C5%82a-Podstawowa-im-Powstania-Wielkopolskiego-w-Jankowie-Zale%C5%9Bnym-100064026283435/?locale=pl PL& rdr""
""https://spradlow.szkolnastrona.pl/"",""strona internetowa"",""Szkoła Podstawowa im. św. Jana Pawła II w Radłowie"","""","""",""https://spradlow.szkolnastrona.pl/""
""Szkoła Podstawowa im. św. Jana Pawła II w Radłowie"",""Facebook"",""Szkoła Podstawowa im. św. Jana Pawła II w Radłowie"","""","""",""https://www.facebook.com/p/Szko%C5%82a-Podstawowa-im-%C5%9Bw-Jana-Paw%C5%82a-II-w-Rad%C5%82owie-100057365061468/?locale=pl PL""
""www.sp.raszkow.pl"",""strona internetowa"",""Szkoła Podstawowa w Raszkowie"",""2012"","""",""www.sp.raszkow.pl""
""Szkoła Podstawowa w Raszkowie"",""Facebook"",""Szkoła Podstawowa w Raszkowie"",""2022"","""",""www.facebook.com/SPwraszkowie/""
""http://spligota.szkolnastrona:pl"",""strona internetowa"",""Szkoła Podstawowa im. Żołnierzy Niezłomnych w Ligocie"",""2018"","""",""http://spligota.szkolnastrona:pl""
""Szkoła Podstawowa im. Żołnierzy Niezłomnych w Ligocie"",""Facebook"",""Szkoła Podstawowa im. Żołnierzy Niezłomnych w Ligocie"",""2021"","""",""https://www.facebook.com/szkolaligota/""
""https://spbieganin.szkolnastrona.pl"",""strona internetowa"",""Szkoła Podstawowa im. Danuty Siedzikówny ps. ""Inka"" w Bieganinie."",""2021"","""",""https://spbieganin.szkolnastrona.pl""
""Szkoła Podstawowa im. Danuty Siedzikówny ps. ""Inka"" w Bieganinie."",""Facebook"",""Szkoła Podstawowa im. Danuty Siedzikówny ps. ""Inka"" w Bieganinie."",""2023"","""",""https://www.facebook.com/profile.php?id=100092496953823&locale=pl PL.""
""www.przedszkoleraszkow.szkolnastrona.pl"",""strona internetowa"",""Publiczne Przedszkole im. Smerfy w Raszkowie"",""2015"","""",""www.przedszkoleraszkow.szkolnastrona.pl"""
793,85602,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-607,RYPIN,samorząd gminy,kujawsko-pomorskie,rypiński,PRAWDA,"""Kronika Rypińska"",""biuletyn informacyjny"",""Wydział Promocji i Komunikacji Społecznej Urzędu Miasta Rypin"",""1990"","""",https://rypin.eu/epublikacje.html"
1096,87702,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2707,BOBOLICE,samorząd gminy,zachodniopomorskie,koszaliński,FAŁSZ,"tytul,typ,prowadzacy,data_od,data_do,linki
""Gmina Bobolice"",""strona internetowa"",""Gmina Bobolice"",""ok. 2000 r."","""",""www.bobolice.pl""
""Gmina Bobolice"",""Facebook"",""Gmina Bobolice"",""2014 r."","""",""https://www.facebook.com/Gmina.Bobolice""
""Miejsko – Gminna Biblioteka Publiczna w Boblicach"",""strona internetowa"",""Miejsko – Gminna Biblioteka Publiczna w Boblicach"","""","""",""https://biblioteka.bobolice.pl/""
""Miejsko – Gminna Biblioteka Publiczna w Boblicach"",""FB"",""Miejsko – Gminna Biblioteka Publiczna w Boblicach"","""","""",""https://www.facebook.com/BibliotekaBobolice""
""Miejsko – Gminny Ośrodek Kultury w Bobolicach"",""strona internetowa"",""Miejsko – Gminny Ośrodek Kultury w Bobolicach"","""","""",""https://mgok.bobolice.pl/""
""Miejsko – Gminny Ośrodek Kultury w Bobolicach"",""FB"",""Miejsko – Gminny Ośródek Kultury w Bobolicach"","""","""",""https://www.facebook.com/mgokbobolice""
""Miejsko – Gminny Ośrodek Pomocy Społecznej w Bobolicach"",""strona internetowa"",""Miejsko – Gminny Ośrodek Pomocy Społecznej w Bobolicach"","""","""",""https://mgops.bobolice.pl/""
""Gminny Zakład Komunalny w Bobolicach Spółka z o.o. w Bobolicach"",""strona internetowa"",""Gminny Zakład Komunalny w Bobolicach Spółka z o.o. w Bobolicach"","""","""",""https://gzk.bobolice.pl/""
""Gminny Zakład Komunalny w Bobolicach Spółka z o.o. w Bobolicach"",""FB"",""Gminny Zakład Komunalny w Bobolicach Spółka z o.o. w Bobolicach"","""","""",""https://www.facebook.com/GZKwBobolicach"""
2029,86494,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1499,PUŁTUSK,samorząd gminy,mazowieckie,pułtuski,FAŁSZ,
2281,86997,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2002,KOŚCIERZYNA,samorząd gminy,pomorskie,kościerski,FAŁSZ,
2380,87780,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-2785,STARGARD,samorząd gminy,zachodniopomorskie,stargardzki,PRAWDA,"tytul,typ,prowadzacy,data_od,data_do,linki
""Stargardzki Informator Samorządowy"",""gazeta – miesięcznik"",""Urząd Miejski w Stargardzie"",""2009"","""",""https://stargard.eu/dlamieszkanca/samorzad/sis-2025/"""
51,86073,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1078,STRYKÓW,samorząd gminy,łódzkie,zgierski,FAŁSZ,"tytul,typ,prowadzacy,data_od,data_do,linki
""www.strykow.pl"",""strona internetowa"",""Urząd Miejski w Strykowie, Wydział Promocji i Kontaktów z Mieszkańcami"",""1 kwietnia 1997 r."",,""www.strykow.pl""
""facebook.com/GminaStrykow"",""profil na Facebook'u"",""Urząd Miejski w Strykowie, Wydział Promocji i Kontaktów z Mieszkańcami"",""ok. 2018 r."",,""https://www.facebook.com/GminaStrykow"""
100,86945,https://fedrowanie.siecobywatelska.pl/sprawy/monitoring-mediow-samorzadowych-2023-2024-1950,TYKOCIN,samorząd gminy,podlaskie,białostocki,,
