"Identyfikator instytucji na Fedrowaniu (FEDR_id)","Nazwa instytucji na Fedrowaniu (FEDR_name)","Nazwa systemu","Funkcja systemu","Uwagi dodatkowe"
"4","Marszałek Województwa Lubuskiego","fireflies.ai","transkrypcja plików audio na tekst",
"4","Marszałek Województwa Lubuskiego","ChatGPT",,
"4","Marszałek Województwa Lubuskiego","AI zawarte w pakiecie Adobe",,
"4","Marszałek Województwa Lubuskiego","AI zawarte w pakiecie Canva, CapCut, Happy Scribe",,
"4","Marszałek Województwa Lubuskiego","AI zawarte w pakiecie Canva",,
"4","Marszałek Województwa Lubuskiego","AI zawarte w pakiecie CapCut",,
"4","Marszałek Województwa Lubuskiego","AI zawarte w pakiecie Happy Scribe",,
"4","Marszałek Województwa Lubuskiego",,,"Województwo Lubuskie zrealizowało również projekt ""MedBrain L – lubuski projekt wsparcia diagnostyki i medycyny systemami Sztucznej Inteligencji"", w ramach którego wdrożono rozwiązania oparte o sztuczną inteligencję w 3 jednostkach ochrony zdrowia w regionie: Neuro MEDBrain L (analiza danych z badań tomografii komputerowej głowy, automatyczna ocena stopnia udaru niedokrwiennego, ilościowa ocena stopnia rozległości udaru), Mammo MedBrain L (opis z analizy dla badań mammografii z wyłączeniem badań spektralnych i tomosyntezy), Pulmo MedBrain L (analiza obrazów badań RTG klatki piersiowej oraz badań tomografii komputerowej klatki piersiowej, wyróżnianie 3 grup chorób: onkologiczne, choroby płuc, choroby układu krążenia)."
"7","Marszałek Województwa Mazowieckiego","Business Intelligence","System ten wspiera podejmowanie decyzji zarządczych przez managerów podmiotów leczniczych województwa mazowieckiego, zbierając, analizując i opracowując niemedyczne dane na potrzeby własne jednostek oraz sprawozdawcze dla Urzędu Marszałkowskiego. Jego zadaniem jest usprawnienie bieżącego zarządzania jednostką medyczną i monitorowanie działalności, nie zaś podejmowanie decyzji bez udziału człowieka. System oferuje też możliwość trenowania modeli uczenia maszynowego.",
"12","Marszałek Województwa Śląskiego","Microsoft 365 Copilot","narzędzie wspierające pracę biurową, komunikację i analizę danych, oparte na sztucznej inteligencji",
"12","Marszałek Województwa Śląskiego","ChatGPT","generowanie odpowiedzi w języku naturalnym na podstawie wprowadzonych zapytań tekstowych, wspierające komunikację, analizę i automatyzację zadań",
"13","Marszałek Województwa Świętokrzyskiego","Trend Micro Vision One","system EDR/XDR zabezpieczający systemy informatyczne",
"16","Marszałek Województwa Zachodniopomorskiego",,,"W odpowiedzi na pytanie 1, Urząd Marszałkowski Województwa Zachodniopomorskiego odmówił podania listy systemów z nazwą i funkcją. Uzasadniono, że żądane dane dotyczące systemów komputerowych nie mieszczą się w zakresie stosowania ustawy o dostępie do informacji publicznej, ponieważ stanowią jedynie techniczną sferę funkcjonowania narzędzia, a nie informację publiczną. Powołano się na orzecznictwo sądów administracyjnych (np. wyrok NSA z 10.06.2014 r., I OSK 7/14; wyrok NSA z 29.06.2018 r., I OSK 2114/16; wyrok WSA w Łodzi z 29.04.2016 r., II SAB/Łd 19/16; wyrok NSA z 19.12.2002 r., II SA 3301/02)."
"22","Wojewoda Małopolski","ABBYY FineReader PDF","Służy on do konwersji zeskanowanych dokumentów papierowych na edytowalne formaty plików, co pozwala na uniknięcie ręcznego przepisywania tekstu i automatyczne rozpoznanie treści, która może być następnie cytowana w pismach tworzonych przez Urząd.",
"25","Wojewoda Podkarpacki",,"wykorzystuje oprogramowania do ochrony zasobów (np. antywirus, antyspam i antyfilter), które mogą wykorzystywać mechanizmy sztucznej inteligencji AI.",
"46","SIEMIEŃ","posiedzenia.pl","do Obsługi Rady Gminy, który automatycznie przetwarza dźwięk na tekst",
"62","BIAŁOBRZEGI","Posiedzenia.pl","do maszynowego generowania napisów w transmisji posiedzeń Rady Miasta i Gminy",
"64","MIELNO","System Rada - Wytwórnia Telewizyjno-Filmowa ALFA","Jego funkcja polega na generowaniu tekstu na podstawie mowy, który następnie jest dołączany w formie napisów do nagrań Sesji Rady Miejskiej.",
"65","BIERUTÓW",,"Autorskie programy do dekretacji dokumentów zakupowych oraz publikacji treści w mediach społecznościowych.",
"87","Szczecin","System Monitoringu Miejskiego","analiza obrazu",
"87","Szczecin","Wirtualna ankieterka","(bot) stworzona na potrzeby konsultacji społecznych w ramach prac nad Strategią Rozwoju Miasta",
"100","TYKOCIN","eNapisy.pl",,
"129","TUCHOLA","DSSS Subs Editor","edytor napisów",
"129","TUCHOLA","https://transmisjaobrad.info","platforma generująca napisy",
"149","CZAPLINEK","bee.io","jest wykorzystywany do transkrypcji mowy na tekst",
"167","ZGIERZ","Ania","chatbot na stronie miasto.zgierz.pl",
"218","GIELNIÓW","beey.io","do transkrypcji tekstu z nagrań z posiedzeń rady Miejskiej oraz nakładania tekstu na wideo z tych nagrań",
"229","GNIEWOSZÓW","Chirp 2","moduł Chirp 2 firmy Google do automatycznych transkrypcji","W systemie Rada, w module do transmisji i nagrań z obrad sesji wykorzystywany jest moduł Chirp 2 firmy Google do automatycznych transkrypcji, który jest weryfikowany i poprawiany przed zamieszczeniem na stronie. "
"259","KAŹMIERZ","Mycroft","wykrywanie i zarządzanie danymi osobowymi w infrastrukturze IT",
"300","MIELNIK","ABBYY FineReader 12 Professional Edition","narzędzie rozpoznawania tekstu",
"300","MIELNIK","obradyonline.pl","posiada funkcjonalność generowania transkrypcji do nagrań sesji","dane wejściowe automatycznie przetworzone podlegają dodatkowej korekcie w ramach umowy na udostępnienie systemu"
"320","OCHOTNICA DOLNA","Chat-GPT for Teams","do przeszukiwania Internetu",
"330","PĄTNÓW","Sesja.pl","automatyczna transkrypcja nagrań sesji rady gminy","System ten jest dostarczany przez podmiot zewnętrzny - firmę „Sesja.pl”. Urząd zaznaczył, że nie zna konkretnego narzędzia, z którego korzysta usługodawca."
"353","SPICZYN","DSSS VoteApp / DSSS VideoStream","Tworzenie raportów z sesji Rady Gminy, generowanie tekstu z mowy.",
"382","UŁĘŻ",,"do rozpoznawania mowy i generowania napisów do posiedzeń Rady Gminy","dostarczony i zarządzany przez producenta portalu do obsługi posiedzeń."
"385","UNISŁAW","posiedzenia.pl","wykonuje automatyczną transkrypcję napisów sesji Rady Gminy",
"398","ZBLEWO","beey.io","do transkrypcji mowy na tekst z nagrań wideo z obrad Sesji Rady Gminy",
"427","SŁABOSZÓW","Wulkan","program kadrowo – płacowy, który automatycznie przetwarza i analizuje dane",
"443","GOŚCINO","eNapisy, eSesja","są narzędziami do rozpoznawania tekstu, mowy, obrazów, filmów na potrzeby obsługi sesji rady gminy",
"462","ANDRYCHÓW","eNapisy","wykorzystywany do automatycznego tłumaczenia ścieżki dźwiękowej zapisu sesji Rady Miejskiej w celu wygenerowania napisów dla osób niesłyszących",
"462","ANDRYCHÓW","HikVision","wykorzystywany do zamiany zdjęć tablic rejestracyjnych na postać tekstową",
"479","NIEDRZWICA DUŻA","Faster-Whisper-XXL","narzędzie do rozpoznawania mowy",
"492","ŚWIĘTAJNO","transmisjaobrad.info","transkrypcja mowy na tekst. Wykorzystywany on jest przy obradach sesji Rady Gminy",
"504","WIELOWIEŚ","YouTube","automatyczne generowanie napisów na nagraniach sesji Rady Gminy",
"507","Orla","eNapisy.pl","do tworzenia automatycznej transkrypcji z materiału audiowizualnego",
"527","JEŻOWE","ChatGPT Team","narzędzie generatywne wspierające tworzenie treści, wizualizacji i opracowań informacyjnych","Zakres wykorzystania: tworzenie materiałów promocyjnych Gminy, opracowywanie wizualizacji planowanych lub zrealizowanych inwestycji, redagowanie treści informacyjnych publikowanych na potrzeby mieszkańców i partnerów, pomocnicze doradztwo koncepcyjne oraz redakcyjne (np. szkice analiz, odpowiedzi, materiałów roboczych). Dodatkowe informacje: Narzędzie to nie podejmuje żadnych decyzji administracyjnych ani prawnych – jego wykorzystanie ma charakter wspomagający, kreatywny i koncepcyjny."
"530","MICHAŁOWICE","ChatGPT","wsparcie wykonywania zadań służbowych","Obecnie testy mają charakter pilotażowy."
"554","KAZIMIERZ BISKUPI","transmisjaobrad.info","system do zamiany mowy na tekst z nagrań obrad sesji Rady Gminy",
"561","KLUCZE","Posiedzenia.pl","transkrypcja transmisji i nagrań Sesji Rady Gminy (napisy na żywo/napisy w nagraniach)",
"573","KORFANTÓW","enapisy.pl","do rozpoznawania mowy w celu generowania napisów do nagrań z sesji rady miejskiej",
"588","Wrocław","Chat","wspierany rozwiązaniem AI, udostępniony osobom składającym wnioski o przyjęcie dziecka do placówki oświatowej. Funkcją chatu jest wspieranie udzielania odpowiedzi dotyczących regulaminu rekrutacji.","W ramach prowadzonych pilotaży "
"593","LUBSZA","RADA365","moduł Transkrypcja automatyczna",
"601","LIPNICA WIELKA","Lex Kompas Orzeczniczy 2.0","system analizujący dane w obrębie aktów prawnych w celu wspomagania podejmowania decyzji",
"626","MASŁOWICE","beey.io","do automatycznej transkrypcji dźwięku na napisy dla niesłyszących","Napisy są po przetworzeniu weryfikowane i poprawiane ręcznie przez pracownika urzędu."
"693","PORĄBKA","DSSS Video Stream App","transkrypcja sesji",
"700","PIELGRZYMKA","eAuditor",,
"708","POCZESNA","TSOFT (program księgowy), Bestia (program budżetowy), Takser (System Wymiarowania i Księgowania Podatków), Gospodek (ewidencja śmieci), Mobilek (środek transportu)","generowane raporty (trudno powiedzieć, czy z udziałem AI)",
"708","POCZESNA","esesja","generowanie tekstu z sesji",
"735","Tychy","enapisy.pl","do transkrypcji nagrań Sesji Rady Miasta",
"735","Tychy",,"system klasy Privileged Access Management (PAM) z elementami AI (uczenie maszynowe) do kontrolowania, monitorowania i zarządzania dostępem do kont uprzywilejowanych w systemach informatycznych",
"744","Poznań",,"Moduł AI dedykowany dla posiadanego systemu elektronicznego zarządzania dokumentacją, który wspomaga rejestrowanie korespondencji przychodzącej oraz dekretację pism.","w fazie testów"
"744","Poznań",,"Roboty nienadzorowane automatyzujące proces weryfikacji danych w Krajowym Rejestrze Zadłużonych","w fazie testów"
"744","Poznań",,"Robot nienadzorowany automatyzujący proces nadawania uprawnień do systemów informatycznych.","w fazie testów"
"744","Poznań","e-Konsultantka"," Automatycznie rozpoznaje intencję dzwoniącego, a następnie przekierowuje rozmowę do odpowiedniego konsultanta lub umożliwia umówienie wizyty.","System oparty na NLP, dostępny pod numerem miejskiej infolinii, wybieranym za pomocą klawisza 1."
"744","Poznań","Chatboty miejskie","Rozwiązania internetowe wspierające komunikację z mieszkańcami, wykorzystujące NLP. Funkcja: Automatyczne udzielanie odpowiedzi na najczęściej zadawane pytania w określonych obszarach tematycznych (m.in. kwestie kontaktu z urzędem, odpady komunalne, gospodarka przestrzenna).","(poznan.pl/kontakt, poznan.pl/krajobrazowa, poznan.pl/odpady)"
"744","Poznań","Boty do akcji wychodzących","Systemy automatycznego kontaktu telefonicznego z mieszkańcami, uruchamiane z inicjatywy urzędu. Funkcja: Informowanie mieszkańców o zaległościach podatkowych, przypomnienia związane ze złożeniem wniosku o dowód osobisty przez ePUAP, informowanie o zmianie wykonawcy odbierającego odpady komunalne, przypomnienia i możliwość odwołania umówionej wizyty, ocena jakości świadczonych usług.",
"744","Poznań","System informacyjny dotyczący świadczeń socjalnych (telefoniczny)","Funkcja: Umożliwia mieszkańcom sprawdzenie terminu wypłaty świadczenia socjalnego poprzez podanie pierwszej litery nazwiska oraz formy wypłaty. Typ systemu: Automatyczny, realizowany za pomocą technologii rozpoznawania mowy i przypisanych reguł decyzyjnych.",
"749","Włocławek","Robot","do analizy danych z faktur za energię elektryczną oraz ich dystrybucji do jednostek podległych",
"749","Włocławek","beey.io","do transkrypcji oraz wykonania napisów do nagrań z obrad Rady Miasta",
"749","Włocławek",,"mechanizm odczytu i rozpoznawania tablic rejestracyjnych pojazdów (LPR/ANPR) sterującego dostępem do parkingu",
"759","PUCHACZÓW","Eset Endpoint Security","HIPS, system skanujący, analizujący ruch sieciowy, przygotowuje raporty zabezpieczeń w celu wspomagania decyzji",
"776","Siemianowice Śląskie","ESET","do ochrony komputerów i systemów teleinformatycznych przed cyberzagrożeniem",
"776","Siemianowice Śląskie","Watchguard","do ochrony komputerów i systemów teleinformatycznych przed cyberzagrożeniem",
"776","Siemianowice Śląskie","Adobe Creative Cloude","do tworzenia grafiki",
"776","Siemianowice Śląskie","ChatGPT","do tworzenia grafiki",
"776","Siemianowice Śląskie","Leonardo.Ai","do tworzenia grafiki",
"776","Siemianowice Śląskie","Microsoft Copilot","do tworzenia grafiki",
