"Institution id","Case url","Institution name","Institution tags","Jst category","Voivodship","County","Community","Jst full name","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","population_2025"
"43","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-314","ABRAMÓW","samorząd gminy","gmina wiejska","Lubelskie","Lubartowski","Abramów","Lubelskie / Lubartowski / Abramów (0608022, gmina wiejska)",61,61,0,"[a, c]",0,0,0,"b) NIE","b) NIE",3760
"44","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-315","ADAMÓW (pow. łukowski)","samorząd gminy","gmina wiejska","Lubelskie","Łukowski","Adamów","Lubelskie / Łukowski / Adamów (0611032, gmina wiejska)",35,35,0,"N/A",0,0,0,"b) NIE","b) NIE",5000
"709","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-316","ADAMÓW (pow. zamojski)","samorząd gminy","gmina wiejska","Lubelskie","Zamojski","Adamów","Lubelskie / Zamojski / Adamów (0620012, gmina wiejska)",95,95,0,"N/A",0,0,0,"b) NIE","b) NIE",4290
"1728","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1354","ADAMÓWKA","samorząd gminy","gmina wiejska","Podkarpackie","Przeworski","Adamówka","Podkarpackie / Przeworski / Adamówka (1814022, gmina wiejska)",13,13,0,"N/A",0,0,0,"b) NIE","b) NIE",3940
"843","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-317","ALEKSANDRÓW (woj. lubelskie)","samorząd gminy","gmina wiejska","Lubelskie","Biłgorajski","Aleksandrów","Lubelskie / Biłgorajski / Aleksandrów (0602022, gmina wiejska)",96,96,0,"N/A",0,0,0,"b) NIE","b) NIE",3120
"1960","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-170","ALEKSANDRÓW KUJAWSKI","samorząd gminy","gmina miejska","Kujawsko-Pomorskie","Aleksandrowski","Aleksandrów Kujawski","Kujawsko-Pomorskie / Aleksandrowski / Aleksandrów Kujawski (0401011, gmina miejska)",116,116,0,"N/A",0,0,0,"b) NIE","b) NIE",11300
"456","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-171","ALEKSANDRÓW KUJAWSKI","samorząd gminy","gmina wiejska","Kujawsko-Pomorskie","Aleksandrowski","Aleksandrów Kujawski","Kujawsko-Pomorskie / Aleksandrowski / Aleksandrów Kujawski (0401042, gmina wiejska)",80,80,0,"N/A",0,0,0,"b) NIE","b) NIE",11940
"2204","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-786","ALWERNIA","samorząd gminy","gmina miejsko-wiejska","Małopolskie","Chrzanowski","Alwernia","Małopolskie / Chrzanowski / Alwernia (1203013, gmina miejsko-wiejska)",111,111,0,"N/A",1,0,0,"b) NIE","a) TAK",12160
"1081","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-611","ANDRESPOL","samorząd gminy","gmina wiejska","Łódzkie","Łódzki Wschodni","Andrespol","Łódzkie / Łódzki Wschodni / Andrespol (1006022, gmina wiejska)",97,"BD",0,"N/A",0,0,0,"b) NIE","b) NIE",14870
"462","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-787","ANDRYCHÓW","samorząd gminy","gmina miejsko-wiejska","Małopolskie","Wadowicki","Andrychów","Małopolskie / Wadowicki / Andrychów (1218013, gmina miejsko-wiejska)",222,200,1,"[a, b, c]",0,0,0,"b) NIE","b) NIE",41470
"405","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-969","ANDRZEJEWO","samorząd gminy","gmina wiejska","Mazowieckie","Ostrowski","Andrzejewo","Mazowieckie / Ostrowski / Andrzejewo (1416022, gmina wiejska)",51,50,0,"[c]",0,0,0,"b) NIE","b) NIE",3680
"53","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-318","ANNOPOL","samorząd gminy","gmina miejsko-wiejska","Lubelskie","Kraśnicki","Annopol","Lubelskie / Kraśnicki / Annopol (0607023, gmina miejsko-wiejska)",106,106,0,"N/A",0,0,0,"b) NIE","b) NIE",7830
"2201","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1514","Augustów","samorząd gminy","gmina miejska","Podlaskie","Augustowski","Augustów","Podlaskie / Augustowski / Augustów (2001011, gmina miejska)",100,100,0,"N/A",0,0,0,"b) NIE","b) NIE",28520
"406","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1515","AUGUSTÓW","samorząd gminy","gmina wiejska","Podlaskie","Augustowski","Augustów","Podlaskie / Augustowski / Augustów (2001022, gmina wiejska)",67,67,0,"N/A",0,0,0,"b) NIE","b) NIE",6350
"1569","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2141","BABIAK","samorząd gminy","gmina wiejska","Wielkopolskie","Kolski","Babiak","Wielkopolskie / Kolski / Babiak (3009022, gmina wiejska)",34,34,0,"N/A",0,0,0,"a) TAK","b) NIE",7200
"710","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-788","BABICE","samorząd gminy","gmina wiejska","Małopolskie","Chrzanowski","Babice","Małopolskie / Chrzanowski / Babice (1203022, gmina wiejska)",109,108,1,"[h]",0,0,0,"b) NIE","b) NIE",8960
"58","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-527","BABIMOST","samorząd gminy","gmina miejsko-wiejska","Lubuskie","Zielonogórski","Babimost","Lubuskie / Zielonogórski / Babimost (0809013, gmina miejsko-wiejska)",95,94,1,"[i]",0,3,0,"b) NIE","b) NIE",5990
"1082","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1283","BABORÓW","samorząd gminy","gmina miejsko-wiejska","Opolskie","Głubczycki","Baborów","Opolskie / Głubczycki / Baborów (1602013, gmina miejsko-wiejska)",80,72,0,"[a, b]",0,0,0,"b) NIE","b) NIE",5450
"2238","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-970","BABOSZEWO","samorząd gminy","gmina wiejska","Mazowieckie","Płoński","Baboszewo","Mazowieckie / Płoński / Baboszewo (1420032, gmina wiejska)",90,90,0,"N/A",0,0,0,"b) NIE","b) NIE",7270
"1729","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1923","BAĆKOWICE","samorząd gminy","gmina wiejska","Świętokrzyskie","Opatowski","Baćkowice","Świętokrzyskie / Opatowski / Baćkowice (2606012, gmina wiejska)",64,26,0,"BD",0,0,0,"b) NIE","b) NIE",4450
"2205","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1516","BAKAŁARZEWO","samorząd gminy","gmina wiejska","Podlaskie","Suwalski","Bakałarzewo","Podlaskie / Suwalski / Bakałarzewo (2012012, gmina wiejska)",66,63,0,"[f, i]",0,0,0,"b) NIE","b) NIE",2970
"179","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1355","BALIGRÓD","samorząd gminy","gmina wiejska","Podkarpackie","Leski","Baligród","Podkarpackie / Leski / Baligród (1821012, gmina wiejska)",48,48,0,"[c]",0,0,0,"b) NIE","b) NIE",3000
"2206","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2367","BANIE","samorząd gminy","gmina wiejska","Zachodniopomorskie","Gryfiński","Banie","Zachodniopomorskie / Gryfiński / Banie (3206012, gmina wiejska)",24,24,0,"N/A",0,0,0,"b) NIE","b) NIE",5650
"1781","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2025","BANIE MAZURSKIE","samorząd gminy","gmina wiejska","Warmińsko-Mazurskie","Gołdapski","Banie Mazurskie","Warmińsko-Mazurskie / Gołdapski / Banie Mazurskie (2818012, gmina wiejska)",95,89,0,"[a]",0,0,0,"b) NIE","b) NIE",3110
"1570","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-971","BARANOWO","samorząd gminy","gmina wiejska","Mazowieckie","Ostrołęcki","Baranowo","Mazowieckie / Ostrołęcki / Baranowo (1415012, gmina wiejska)",18,18,0,"N/A",0,0,0,"b) NIE","b) NIE",5810
"223","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-319","BARANÓW (woj. lubelskie)","samorząd gminy","gmina wiejska","Lubelskie","Puławski","Baranów","Lubelskie / Puławski / Baranów (0614022, gmina wiejska)",88,88,0,"N/A",0,0,0,"b) NIE","b) NIE",3410
"180","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2142","BARANÓW (woj. wielkopolskie)","samorząd gminy","gmina wiejska","Wielkopolskie","Kępiński","Baranów","Wielkopolskie / Kępiński / Baranów (3008012, gmina wiejska)",70,69,1,"[c]",0,0,0,"b) NIE","b) NIE",8320
"2207","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1356","BARANÓW SANDOMIERSKI","samorząd gminy","gmina miejsko-wiejska","Podkarpackie","Tarnobrzeski","Baranów Sandomierski","Podkarpackie / Tarnobrzeski / Baranów Sandomierski (1820013, gmina miejsko-wiejska)",78,78,0,"[a, c]",0,0,0,"b) NIE","b) NIE",11130
"1083","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2026","BARCIANY","samorząd gminy","gmina wiejska","Warmińsko-Mazurskie","Kętrzyński","Barciany","Warmińsko-Mazurskie / Kętrzyński / Barciany (2808022, gmina wiejska)",167,167,20,"[b, d, e]",0,1,0,"b) NIE","b) NIE",5440
"808","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-172","BARCIN","samorząd gminy","gmina miejsko-wiejska","Kujawsko-Pomorskie","Żniński","Barcin","Kujawsko-Pomorskie / Żniński / Barcin (0419013, gmina miejsko-wiejska)",106,106,0,"N/A",1,0,0,"b) NIE","b) NIE",13960
"1084","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2027","BARCZEWO","samorząd gminy","gmina miejsko-wiejska","Warmińsko-Mazurskie","Olsztyński","Barczewo","Warmińsko-Mazurskie / Olsztyński / Barczewo (2814013, gmina miejsko-wiejska)",156,139,14,"[a, g, i]",0,1,0,"b) NIE","b) NIE",18440
"2114","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1","BARDO","samorząd gminy","gmina miejsko-wiejska","Dolnośląskie","Ząbkowicki","Bardo","Dolnośląskie / Ząbkowicki / Bardo (0224013, gmina miejsko-wiejska)",88,88,0,"N/A",0,0,0,"b) NIE","b) NIE",4780
"1413","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-173","BARTNICZKA","samorząd gminy","gmina wiejska","Kujawsko-Pomorskie","Brodnicki","Bartniczka","Kujawsko-Pomorskie / Brodnicki / Bartniczka (0402062, gmina wiejska)",76,72,0,"[a, b, c]",0,0,0,"b) NIE","b) NIE",4470
"2197","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2028","BARTOSZYCE","samorząd gminy","gmina miejska","Warmińsko-Mazurskie","Bartoszycki","Bartoszyce","Warmińsko-Mazurskie / Bartoszycki / Bartoszyce (2801011, gmina miejska)",93,93,0,"[b, c]",1,0,0,"b) NIE","b) NIE",20770
"2443","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2029","BARTOSZYCE","samorząd gminy","gmina wiejska","Warmińsko-Mazurskie","Bartoszycki","Bartoszyce","Warmińsko-Mazurskie / Bartoszycki / Bartoszyce (2801032, gmina wiejska)",84,83,0,"N/A",0,0,0,"b) NIE","b) NIE",10080
"2369","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-2369","BARWICE","samorząd gminy","gmina miejsko-wiejska","Zachodniopomorskie","Szczecinecki","Barwice","Zachodniopomorskie / Szczecinecki / Barwice (3215023, gmina miejsko-wiejska)",87,86,1,"[c]",0,1,0,"b) NIE","b) NIE",7580
"809","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-320","BATORZ","samorząd gminy","gmina wiejska","Lubelskie","Janowski","Batorz","Lubelskie / Janowski / Batorz (0605012, gmina wiejska)",77,77,0,"N/A",0,0,0,"a) TAK","b) NIE",3020
"1571","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-612","BEDLNO","samorząd gminy","gmina wiejska","Łódzkie","Kutnowski","Bedlno","Łódzkie / Kutnowski / Bedlno (1002022, gmina wiejska)",74,70,"BD","[b, d]","BD","BD","BD","b) NIE","b) NIE",4910
"1783","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-1925","BEJSCE","samorząd gminy","gmina wiejska","Świętokrzyskie","Kazimierski","Bejsce","Świętokrzyskie / Kazimierski / Bejsce (2603012, gmina wiejska)",65,64,1,"[h]",0,0,0,"b) NIE","b) NIE",3770
"1086","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-973","BELSK DUŻY","samorząd gminy","gmina wiejska","Mazowieckie","Grójecki","Belsk Duży","Mazowieckie / Grójecki / Belsk Duży (1406012, gmina wiejska)",105,105,1,"[f]",0,0,0,"b) NIE","b) NIE",6080
"1780","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-614","BEŁCHATÓW","samorząd gminy","gmina wiejska","Łódzkie","Bełchatowski","Bełchatów","Łódzkie / Bełchatowski / Bełchatów (1001022, gmina wiejska)",67,67,0,"N/A",0,0,0,"a) TAK","b) NIE",13340
"1961","https://fedrowanie.siecobywatelska.pl/sprawy/wnioski-o-informacje-w-2025-613","BEŁCHATÓW","samorząd gminy","gmina miejska","Łódzkie","Bełchatowski","Bełchatów","Łódzkie / Bełchatowski / Bełchatów (1001011, gmina miejska)",114,77,3,"[a, b, c]",0,0,0,"b) NIE","b) NIE",50960
